"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38050","Test 05 Bid cancel Flow","chromium","2025-12-07","passed","2025-12-07","","Login.spec.ts","",""
"","28670","Test 01 Vendor submission flow","chromium","2025-12-07","passed","2025-12-07","","Login.spec.ts","",""
"","31032","Test 01 Bid Creation","chromium","2025-12-06","broken","2025-12-06","","Login.spec.ts","",""
"","40132","Test 02 Bid confirmation flow","chromium","2025-12-07","passed","2025-12-07","","Login.spec.ts","",""
"","918","test1","chromium","2025-12-07","passed","2025-12-07","","Login.spec.ts","",""
"","35881","Test 04 Bid Lost flow","chromium","2025-12-07","passed","2025-12-07","","Login.spec.ts","",""
"","1","Test 02 Submitting Bid","chromium","2025-12-05","skipped","2025-12-05","","Login.spec.ts","",""
"","44186","Test 03 Bid won flow","chromium","2025-12-07","passed","2025-12-07","","Login.spec.ts","",""
